2026-06-14 03:13:26.589 [INFO]  PyTorch Studio запуск... Сетевые и графические интерфейсы инициализированы. (../../main.cpp:135)
2026-06-14 03:13:26.623 [WARN]  QMetaObject::connectSlotsByName: No matching signal for on_btnClosePanel_clicked()
2026-06-14 03:13:26.636 [WARN]  QMetaObject::connectSlotsByName: No matching signal for on_actionOpenSettings_triggered()
2026-06-14 03:13:26.642 [WARN]  QMetaObject::connectSlotsByName: No matching signal for on_btnClosePanel_clicked()
2026-06-14 03:13:26.674 [INFO]  🟢 [СИСТЕМНЫЙ ЛОГ] Кнопка btnStartTraining успешно найдена в памяти GUI! (../../neuro_programm.cpp:1184)
2026-06-14 03:13:26.674 [WARN]  QObject::disconnect: wildcard call disconnects from destroyed signal of QPushButton::btnStartTraining
2026-06-14 03:14:12.515 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:13.495 [WARN]  QWidget::setWindowModified: The window title does not contain a '[*]' placeholder
2026-06-14 03:14:18.415 [INFO]  ✔ [IDE] Выполнено полное сохранение проекта целиком. Количество записанных файлов: 0 (../../neuro_programm.cpp:2880)
2026-06-14 03:14:29.209 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:29.950 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:30.043 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:30.208 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:31.669 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:31.731 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:31.839 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:31.882 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:32.001 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:32.043 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:32.099 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:32.216 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:32.285 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:32.512 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:32.559 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:32.689 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:32.859 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:33.002 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:34.883 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
2026-06-14 03:14:35.215 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../codeeditor.cpp:1613)
