2026-06-24 00:52:41.691 [INFO]  PyTorch Studio запуск... Сетевые и графические интерфейсы инициализированы. (../../../../pyTorch-Studio/main.cpp:151)
2026-06-24 00:52:42.013 [DEBUG] vkDebug: setup_loader_term_phys_devs:  Failed to detect any valid GPUs in the current config
2026-06-24 00:52:42.013 [WARN]  No physical devices
2026-06-24 00:52:42.424 [WARN]  QLayout: Attempting to add QLayout "" to QToolBar "topContainerBar", which already has a layout
2026-06-24 00:52:42.424 [WARN]  QWidget::setLayout: Attempting to set QLayout "" on QToolBar "topContainerBar", which already has a layout
2026-06-24 00:52:42.694 [INFO]  🟢 [СИСТЕМНЫЙ ЛОГ] Кнопка btnStartTraining успешно найдена в памяти GUI! (../../../../pyTorch-Studio/neuro_programm.cpp:1472)
2026-06-24 00:52:42.694 [WARN]  QObject::disconnect: wildcard call disconnects from destroyed signal of QPushButton::btnStartTraining
2026-06-24 00:52:49.293 [DEBUG] [RECENT_MGR] Запрос быстрого открытия файла: "/home/elf/zz1/z1/z1.pystudio" (../../../../pyTorch-Studio/neuro_programm.cpp:3007)
2026-06-24 00:52:57.318 [DEBUG] [LSP_INIT] Используем изолированный venv проекта: "/home/elf/zz1/z1/venv/bin/python" (../../../../pyTorch-Studio/neuro_programm.cpp:3332)
2026-06-24 00:52:59.740 [DEBUG] [LSP] Документ официально зарегистрирован в памяти Jedi! (../../../../pyTorch-Studio/codeeditor.cpp:1419)
2026-06-24 00:52:59.745 [DEBUG] [LSP_INIT] Используем изолированный venv проекта: "/home/elf/zz1/z1/venv/bin/python" (../../../../pyTorch-Studio/neuro_programm.cpp:3332)
2026-06-24 00:53:00.331 [WARN]  QWidget::setWindowModified: The window title does not contain a '[*]' placeholder
2026-06-24 00:53:01.008 [DEBUG] [LSP CLIENT] Пакет изменения текста отправлен после паузы. Версия: 2 (../../../../pyTorch-Studio/codeeditor.cpp:1356)
2026-06-24 00:53:02.308 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:03.047 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 10 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:03.519 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 11 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:03.549 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:03.578 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:03.621 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:03.870 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 7 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:03.923 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 7 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:03.947 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 7 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:03.968 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 7 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:03.990 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 7 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:04.019 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 7 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:04.041 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 7 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:04.064 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 7 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:04.108 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 7 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:04.137 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 7 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:04.352 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 7 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:23.256 [DEBUG] Ищем текст: "import" Регистр: false Целое слово: false Regex: false (../../../../pyTorch-Studio/neuro_programm.cpp:7328)
2026-06-24 00:53:28.509 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 0 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:28.901 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 10 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:28.936 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 10 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
2026-06-24 00:53:28.979 [DEBUG] >>> [GUI HOVER] Запрос отправлен на safe-позицию символа: 10 (../../../../pyTorch-Studio/codeeditor.cpp:1640)
